"timeMillisSpent","score"
18857,"1340hard/-18940soft"
18952,"1340hard/-18860soft"
19026,"1340hard/-18800soft"
19036,"1340hard/-18720soft"
19036,"1340hard/-18680soft"
19056,"1340hard/-18660soft"
19056,"1340hard/-18620soft"
19104,"1340hard/-18600soft"
19264,"1340hard/-18580soft"
19427,"1340hard/-18540soft"
20120,"1340hard/-18480soft"
20390,"1340hard/-18460soft"
20397,"1340hard/-18440soft"
20484,"1340hard/-18420soft"
20515,"1340hard/-18400soft"
20886,"1340hard/-18360soft"
20914,"1340hard/-18340soft"
21350,"1340hard/-18300soft"
21366,"1340hard/-18280soft"
21368,"1340hard/-18260soft"
21388,"1340hard/-18220soft"
21406,"1340hard/-18120soft"
21409,"1340hard/-18060soft"
21410,"1340hard/-17960soft"
22899,"1340hard/-17900soft"
23316,"1340hard/-17840soft"
23874,"1340hard/-17800soft"
24032,"1340hard/-17760soft"
24616,"1340hard/-17720soft"
25128,"1340hard/-17680soft"
25218,"1340hard/-17660soft"
25450,"1340hard/-17620soft"
25470,"1340hard/-17600soft"
25571,"1340hard/-17560soft"
25839,"1340hard/-17540soft"
25856,"1340hard/-17480soft"
25980,"1340hard/-17400soft"
26285,"1340hard/-17380soft"
27051,"1340hard/-17360soft"
27248,"1340hard/-17320soft"
27385,"1340hard/-17280soft"
27538,"1340hard/-17240soft"
27538,"1340hard/-17120soft"
30190,"1340hard/-17100soft"
30360,"1340hard/-17040soft"
30369,"1340hard/-17000soft"
30472,"1340hard/-16920soft"
31064,"1340hard/-16900soft"
31265,"1340hard/-16880soft"
31289,"1340hard/-16840soft"
31843,"1340hard/-16780soft"
32004,"1340hard/-16740soft"
32016,"1340hard/-16720soft"
32227,"1340hard/-16700soft"
32414,"1340hard/-16640soft"
32897,"1340hard/-16620soft"
32918,"1340hard/-16600soft"
32934,"1340hard/-16520soft"
34718,"1340hard/-16500soft"
35526,"1340hard/-16480soft"
35836,"1340hard/-16460soft"
35913,"1340hard/-16440soft"
36998,"1340hard/-16420soft"
37172,"1340hard/-16400soft"
38037,"1340hard/-16360soft"
38366,"1340hard/-16300soft"
39776,"1340hard/-16280soft"
39895,"1340hard/-16260soft"
40709,"1340hard/-16240soft"
41504,"1340hard/-16220soft"
41526,"1340hard/-16200soft"
42057,"1340hard/-16180soft"
42472,"1340hard/-16160soft"
43310,"1340hard/-16120soft"
43455,"1340hard/-16100soft"
43844,"1340hard/-16080soft"
43880,"1340hard/-16060soft"
44709,"1340hard/-16040soft"
45047,"1340hard/-16000soft"
45889,"1340hard/-15980soft"
46430,"1340hard/-15940soft"
51458,"1340hard/-15920soft"
51971,"1340hard/-15880soft"
54096,"1340hard/-15860soft"
54649,"1340hard/-15840soft"
66261,"1340hard/-15820soft"
68362,"1340hard/-15800soft"
75241,"1340hard/-15780soft"
76006,"1340hard/-15760soft"
